N,P,K,temperature,humidity,ph,rainfall,label
16,23,27,31.65,55.97,5.26,90.2,mango
19,137,176,20.8,87.09,5.92,128.17,apple
20,26,30,31.8,47.11,5.44,88.27,mango
14,17,48,21.44,90.77,6.31,116.49,pomegranate
97,20,35,26.52,61.96,7.19,143.5,coffee
16,70,19,23.02,39.4,5.76,149.15,pigeonpeas
113,32,29,22.93,55.18,7.28,187.71,coffee
12,152,179,22.53,81.9,6.77,56.75,grapes
90,36,22,28.04,84.51,7.1,79.68,cotton
18,5,32,19.5,87.23,6.21,117.77,pomegranate
44,62,52,31.78,91.78,6.75,136.72,papaya
17,144,204,21.38,91.25,6.49,106.47,apple
29,66,18,25.61,73.0,7.21,75.33,blackgram
17,67,19,24.04,57.47,6.02,148.86,pigeonpeas
86,12,46,23.94,87.98,5.94,34.76,watermelon
37,62,46,33.0,92.93,6.74,148.46,papaya
28,60,23,29.66,65.4,7.23,76.96,blackgram
20,153,179,25.89,86.99,5.87,78.6,grapes
12,64,15,25.89,63.58,6.11,63.34,lentil
80,53,38,24.15,81.35,6.53,247.85,rice
104,21,29,26.03,55.82,6.89,176.12,coffee
59,72,54,36.04,90.97,6.61,133.32,papaya
42,69,84,18.23,18.17,6.97,83.98,chickpea
90,31,33,22.99,50.67,6.8,195.84,coffee
68,28,32,18.5,90.56,6.86,156.51,jute
18,37,21,26.33,58.92,7.03,44.19,mothbeans
10,10,41,20.14,86.15,6.94,117.37,pomegranate
55,50,38,31.55,91.27,7.57,153.15,papaya
18,61,25,25.79,47.22,6.08,115.96,pigeonpeas
25,121,187,25.13,93.94,6.02,117.1,apple
27,64,19,19.85,20.65,5.86,98.63,kidneybeans
20,8,6,19.63,89.03,6.91,139.28,orange
18,37,17,29.04,49.61,6.87,40.05,mothbeans
85,57,44,24.8,80.42,6.73,206.82,rice
19,43,15,26.34,74.89,6.67,44.02,mungbean
85,11,46,27.65,85.68,6.68,64.11,watermelon
13,13,38,24.04,91.47,6.13,131.37,pomegranate
13,10,32,23.78,93.16,5.96,157.27,coconut
26,3,36,25.91,94.84,5.84,205.86,coconut
82,38,38,23.63,70.87,7.12,161.08,jute
16,7,48,22.61,87.19,6.83,113.01,pomegranate
24,58,22,23.08,18.63,5.52,125.26,kidneybeans
16,32,18,30.0,54.97,7.08,54.29,mothbeans
78,54,42,26.14,86.94,6.46,165.54,jute
24,75,17,20.08,24.05,5.74,126.09,kidneybeans
80,37,33,22.83,90.35,6.42,184.91,rice
16,62,18,23.73,56.82,6.88,53.6,lentil
52,59,49,35.12,97.01,6.88,154.83,papaya
13,9,42,19.08,92.43,6.25,102.76,pomegranate
20,11,8,21.06,90.22,6.99,74.26,orange
51,67,80,19.92,17.7,7.29,84.31,chickpea
83,52,29,29.2,77.12,6.52,169.9,jute
16,7,33,21.07,91.16,6.71,113.61,pomegranate
106,58,18,24.04,69.78,6.6,89.15,cotton
26,44,16,28.7,48.43,6.94,51.92,mothbeans
17,43,20,25.51,91.4,6.5,57.22,mungbean
23,133,200,22.69,82.24,6.19,72.67,grapes
11,49,19,28.79,82.39,7.62,63.6,mungbean
32,68,18,30.15,53.41,6.81,51.8,lentil
110,39,18,23.95,76.71,7.31,85.21,cotton
21,60,17,22.25,18.43,6.29,96.49,kidneybeans
10,23,14,31.23,44.29,5.82,70.62,mango
92,10,50,29.12,94.57,5.92,15.44,muskmelon
22,79,21,19.37,22.0,5.42,119.07,kidneybeans
18,8,10,22.61,89.83,6.35,95.11,orange
23,57,22,25.5,46.24,5.41,129.97,pigeonpeas
76,48,19,24.43,76.05,5.98,69.45,maize
81,57,39,25.3,79.53,7.04,161.64,jute
126,30,34,26.68,61.12,6.96,137.96,coffee
111,58,20,25.13,87.57,6.29,99.18,cotton
62,60,25,21.27,63.06,6.31,95.02,maize
20,58,19,27.24,66.0,6.79,49.13,lentil
14,72,21,18.39,24.69,5.61,113.8,kidneybeans
19,8,46,20.52,85.76,6.34,119.29,pomegranate
57,49,61,35.21,86.95,6.59,157.24,papaya
80,40,42,23.9,79.0,6.52,218.44,rice
13,69,23,24.99,50.92,6.38,140.25,pigeonpeas
92,12,48,31.68,93.5,6.15,24.95,muskmelon
13,42,19,25.31,81.3,6.9,64.27,mungbean
16,63,16,20.88,24.34,5.94,135.12,kidneybeans
63,49,19,23.66,65.6,5.81,107.95,maize
80,62,45,23.16,92.09,6.79,199.93,jute
13,70,22,19.16,14.19,5.86,116.55,kidneybeans
46,54,86,15.18,20.1,7.34,63.64,chickpea
124,43,25,27.09,80.16,7.46,106.75,cotton
20,39,20,30.92,50.24,7.18,47.63,mothbeans
13,143,208,19.25,94.29,6.28,111.87,apple
53,59,52,36.85,94.18,7.18,146.42,papaya
18,7,41,21.07,86.47,6.94,100.67,pomegranate
115,43,18,24.35,91.54,6.78,75.23,cotton
27,26,20,32.08,42.78,5.98,101.17,mango
21,136,195,25.54,79.87,5.15,65.76,grapes
26,27,36,31.12,54.25,4.91,131.28,mango
63,38,32,23.97,52.38,6.65,174.34,coffee
104,28,29,25.31,53.67,6.8,148.31,coffee
131,39,23,28.21,83.82,7.24,82.54,cotton
13,52,11,26.74,45.56,7.05,50.23,mothbeans
20,8,30,25.63,97.22,6.43,172.33,coconut
16,9,27,29.42,94.05,5.76,213.85,coconut
11,10,31,30.07,97.62,6.26,131.75,coconut
17,119,196,21.69,97.55,5.65,111.54,apple
20,13,11,25.84,83.6,6.91,129.61,orange
14,26,25,30.73,55.08,5.84,134.1,mango
9,25,35,33.08,54.57,5.41,119.24,mango
24,9,7,22.16,90.98,7.59,91.62,orange
103,83,45,28.22,76.22,5.97,126.7,banana
10,124,181,23.32,88.66,6.13,107.2,apple
21,135,222,22.33,86.44,5.74,83.29,grapes
43,58,24,28.79,69.55,7.47,74.57,blackgram
22,46,20,20.66,24.77,5.5,111.29,kidneybeans
22,130,185,16.73,83.29,6.07,63.82,grapes
115,69,18,23.13,75.63,7.38,74.41,cotton
12,52,18,21.23,57.88,7.0,41.09,lentil
77,83,59,26.29,78.87,6.09,96.62,banana
16,61,14,30.62,46.88,7.14,50.8,mothbeans
5,146,207,23.16,91.81,6.05,101.04,apple
74,49,41,23.82,87.25,6.46,180.23,jute
12,71,22,23.3,65.83,6.13,35.05,lentil
96,26,28,27.34,57.35,7.11,190.76,coffee
18,10,13,22.26,92.64,6.97,128.56,orange
17,56,23,23.5,53.66,6.73,50.68,lentil
44,63,17,29.98,65.69,7.88,68.16,blackgram
99,83,31,25.38,78.04,6.45,88.8,banana
27,63,14,22.02,19.95,6.04,80.45,kidneybeans
15,9,43,26.5,89.32,6.08,116.03,pomegranate
77,40,37,24.67,82.01,7.08,165.72,jute
31,60,54,31.83,89.49,6.24,168.85,papaya
25,67,24,23.16,59.73,6.43,50.07,lentil
12,14,33,28.57,96.18,6.05,204.21,coconut
20,63,19,23.35,26.02,5.41,122.45,kidneybeans
16,57,18,20.36,23.79,5.63,103.81,kidneybeans
25,44,16,30.84,47.43,6.89,62.35,mothbeans
41,62,53,35.18,93.72,6.65,155.72,papaya
33,76,80,18.48,16.02,7.05,92.38,chickpea
96,14,49,23.69,86.68,6.38,37.76,watermelon
26,31,26,33.86,48.5,5.31,92.42,mango
13,23,29,29.47,51.69,5.71,95.16,mango
86,46,20,22.92,54.79,6.1,79.77,maize
88,84,43,25.94,82.5,5.71,129.08,banana
62,43,34,24.13,77.46,6.08,273.97,rice
14,25,17,29.91,50.58,6.71,49.78,mothbeans
21,124,191,20.53,82.3,6.45,95.0,apple
22,76,24,19.28,18.02,5.68,113.9,kidneybeans
22,65,19,24.8,56.19,6.88,65.3,lentil
34,79,78,19.08,17.78,6.96,92.16,chickpea
20,70,25,22.14,22.57,6.08,94.51,kidneybeans
105,58,20,23.59,82.15,7.07,91.51,cotton
28,62,25,29.05,52.77,6.09,135.03,pigeonpeas
52,72,78,19.89,16.0,7.35,85.54,chickpea
38,60,85,18.26,10.48,7.25,71.97,chickpea
93,6,44,29.37,91.33,5.8,27.39,muskmelon
15,127,204,23.04,83.3,6.71,64.92,grapes
24,71,21,23.65,62.25,6.7,55.56,lentil
16,152,189,24.55,94.53,6.09,99.94,apple
19,56,20,28.92,79.54,6.77,60.35,mungbean
23,64,16,26.6,56.29,5.79,147.17,pigeonpeas
57,73,82,14.9,15.37,6.76,70.69,chickpea
133,57,19,24.46,73.41,7.15,84.12,cotton
18,73,76,14.84,18.53,7.41,77.94,chickpea
9,74,20,28.52,69.63,5.17,174.49,pigeonpeas
18,115,219,23.32,81.42,6.36,74.22,grapes
12,133,183,21.94,90.88,6.08,101.71,apple
24,67,19,20.3,19.49,6.43,85.89,kidneybeans
41,65,20,33.03,66.91,6.89,65.0,blackgram
47,54,17,26.39,63.63,6.99,71.14,blackgram
20,78,17,28.59,51.0,6.11,165.45,pigeonpeas
92,27,28,25.73,54.26,6.42,159.17,coffee
15,78,17,21.26,61.9,6.47,53.21,lentil
124,45,17,24.7,81.01,7.63,70.63,cotton
22,13,13,22.12,93.93,6.89,96.15,orange
8,11,42,25.63,90.47,6.75,107.07,pomegranate
19,8,14,26.01,92.32,6.62,91.61,orange
15,117,212,23.14,93.2,5.89,105.81,apple
20,57,21,26.3,60.43,6.91,62.75,mothbeans
105,26,32,23.54,58.36,7.04,98.11,coffee
18,89,20,23.73,48.97,7.36,36.55,lentil
90,49,26,23.29,65.96,6.08,92.0,maize
79,37,18,23.14,57.04,6.38,89.71,maize
10,6,46,20.95,87.98,6.12,101.67,pomegranate
109,11,47,24.55,90.51,6.21,23.44,muskmelon
82,47,22,25.28,67.79,6.2,70.32,maize
20,51,18,25.18,87.52,6.08,46.83,mungbean
92,41,40,23.43,78.43,6.79,159.34,jute
84,39,18,26.33,64.05,6.29,103.05,maize
15,73,21,24.18,55.41,6.84,34.35,lentil
39,71,72,16.25,13.42,7.04,105.99,chickpea
15,41,18,25.77,80.13,6.91,36.93,mungbean
16,9,36,27.99,92.84,5.7,163.01,coconut
19,13,47,27.23,92.38,5.82,187.51,coconut
120,67,19,23.57,84.33,6.89,81.28,cotton
21,77,18,16.25,23.86,5.61,92.16,kidneybeans
38,70,84,16.89,21.48,6.92,79.68,chickpea
25,48,17,29.98,46.91,7.01,45.23,mothbeans
96,18,45,25.2,63.19,6.43,179.93,coffee
52,58,16,27.81,64.66,7.13,77.4,blackgram
104,49,19,27.36,84.64,6.81,85.59,cotton
65,59,19,24.73,66.71,6.38,98.55,maize
15,54,15,26.73,50.98,6.55,47.64,mothbeans
15,74,14,25.79,54.5,7.3,51.61,lentil
20,62,22,20.84,23.48,5.64,77.7,kidneybeans
91,68,50,27.56,87.45,5.62,122.32,banana
110,8,51,24.48,85.55,6.77,37.73,watermelon
22,136,202,25.07,79.6,5.88,71.92,grapes
20,58,19,24.57,61.34,6.35,61.97,lentil
52,67,16,25.83,57.64,6.59,83.78,blackgram
84,63,40,24.02,81.63,5.92,229.2,rice
10,13,37,20.28,84.7,7.02,90.66,pomegranate
27,28,30,34.77,42.84,5.29,70.76,mango
11,8,32,25.35,96.17,5.92,198.2,coconut
121,42,20,23.34,84.4,7.1,75.27,cotton
11,44,14,29.5,37.67,6.81,29.22,mothbeans
17,54,20,26.53,84.97,6.94,48.12,mungbean
23,60,15,20.9,48.88,6.59,46.99,lentil
22,110,197,20.03,81.39,6.39,73.05,grapes
20,60,17,29.87,57.18,5.9,140.92,pigeonpeas
90,83,47,29.36,86.56,6.26,109.59,banana
79,45,20,19.81,60.14,6.68,80.15,maize
124,97,50,27.77,86.8,5.96,95.15,banana
91,9,53,29.6,89.88,6.05,28.28,muskmelon
24,150,189,23.2,81.18,5.22,66.9,grapes
12,68,22,21.11,64.1,7.13,59.54,lentil
96,8,54,26.52,84.44,6.92,47.88,watermelon
96,87,40,29.36,85.26,6.03,101.6,banana
8,118,191,22.49,91.56,5.96,116.12,apple
16,30,31,29.88,57.1,5.92,105.95,mango
21,55,20,29.24,56.19,6.95,53.12,mothbeans
101,83,45,26.23,78.97,6.48,73.79,banana
19,4,11,19.18,92.3,6.84,93.83,orange
20,9,9,22.17,91.65,7.26,119.13,orange
19,128,188,24.38,92.23,5.95,98.79,apple
81,42,39,25.92,84.54,6.9,167.4,jute
18,28,24,32.37,46.19,5.74,108.17,mango
74,53,43,23.46,82.59,6.88,212.25,rice
11,136,196,25.17,87.59,5.14,63.0,grapes
38,64,70,20.0,13.78,7.07,111.11,chickpea
53,66,47,34.51,91.01,7.02,147.55,papaya
95,31,25,22.92,64.52,5.98,95.99,maize
105,8,44,26.87,90.63,6.19,35.83,muskmelon
55,65,50,35.28,99.64,7.31,137.16,papaya
77,46,51,26.62,92.4,6.65,173.3,jute
63,40,15,20.55,70.27,5.82,129.49,maize
13,121,187,21.04,90.55,6.07,122.99,apple
26,65,12,26.78,49.68,5.6,129.7,pigeonpeas
115,26,27,25.4,61.18,6.9,212.96,coffee
10,125,206,23.41,96.06,6.36,105.72,apple
17,2,32,26.92,97.69,6.11,145.43,coconut
17,61,20,25.37,58.03,7.02,53.06,lentil
18,33,30,32.92,55.16,5.96,80.45,mango
86,6,58,28.59,91.27,5.94,27.24,muskmelon
91,55,42,26.23,76.92,7.36,175.86,jute
136,65,18,20.0,69.51,7.4,79.29,cotton
20,13,10,24.26,86.99,7.11,98.98,orange
18,10,38,18.41,94.78,6.53,131.47,pomegranate
44,81,19,30.14,65.96,7.72,49.01,blackgram
73,44,37,21.77,82.24,6.25,238.11,rice
25,42,20,28.1,45.49,6.25,53.23,mothbeans
80,7,52,29.79,89.96,6.21,22.01,muskmelon
93,10,62,23.77,91.12,7.1,49.03,watermelon
13,71,17,24.09,54.84,7.13,41.63,lentil
20,71,20,27.35,44.02,6.58,176.14,pigeonpeas
23,129,195,24.81,79.78,5.86,71.21,grapes
24,39,24,28.63,51.44,7.39,38.88,mothbeans
17,10,45,20.28,86.98,6.58,83.1,pomegranate
62,49,44,21.76,82.25,7.2,212.76,jute
95,11,45,23.08,88.73,6.72,50.66,watermelon
91,25,28,26.94,55.96,6.55,152.97,coffee
58,51,44,25.89,76.8,6.46,184.89,jute
15,133,191,21.11,91.78,6.1,88.45,apple
68,61,49,24.53,78.15,6.98,186.02,jute
26,6,12,27.54,91.99,6.75,111.85,orange
20,18,25,30.14,46.02,5.88,92.59,mango
20,84,20,19.62,20.93,5.75,130.59,kidneybeans
97,7,49,22.69,84.77,6.95,43.89,watermelon
18,83,24,31.94,49.2,6.12,109.67,pigeonpeas
109,45,10,24.8,76.78,7.33,85.85,cotton
14,10,6,16.72,94.18,7.17,117.01,orange
116,9,56,25.85,81.93,7.05,59.91,watermelon
105,8,48,32.44,94.82,6.07,27.85,muskmelon
122,58,18,24.81,79.65,7.13,70.18,cotton
25,80,16,18.38,18.23,5.73,117.0,kidneybeans
31,68,82,19.89,17.53,6.89,67.59,chickpea
35,69,22,34.76,69.14,7.35,64.94,blackgram
5,78,22,21.01,56.96,7.43,64.48,lentil
79,49,29,24.16,85.02,6.67,160.25,jute
16,12,41,21.48,92.64,6.64,131.7,pomegranate
109,11,51,27.18,91.4,6.28,27.75,muskmelon
19,10,28,26.66,91.83,6.11,187.95,coconut
107,75,56,27.28,76.64,6.2,118.4,banana
94,15,60,32.16,91.42,5.77,13.28,muskmelon
106,89,48,24.53,86.37,5.97,130.95,banana
65,36,20,24.59,73.42,6.02,106.18,maize
27,68,23,29.78,62.99,6.82,57.22,lentil
19,127,207,19.96,81.91,6.16,70.33,grapes
109,24,29,23.52,56.95,7.01,162.69,coffee
35,67,71,17.11,15.77,6.84,82.29,chickpea
25,52,13,27.44,82.19,6.84,23.75,mungbean
8,66,20,24.39,59.28,6.82,60.23,lentil
29,66,23,25.62,72.67,7.34,65.4,blackgram
104,75,51,25.54,75.51,5.81,99.37,banana
103,53,40,24.64,78.76,7.15,165.19,jute
24,22,26,33.49,46.19,5.68,118.64,mango
18,41,19,31.2,52.01,7.14,35.84,mothbeans
21,43,19,31.34,43.29,7.45,46.78,mothbeans
105,12,56,29.53,85.73,6.58,34.77,watermelon
30,70,17,28.96,71.63,7.25,71.58,blackgram
27,9,12,25.03,91.15,7.39,66.37,orange
108,8,46,27.54,81.13,6.41,53.29,watermelon
13,140,182,18.86,97.61,5.58,112.76,apple
17,117,162,20.42,95.34,5.88,107.46,apple
88,29,33,21.91,52.39,7.07,177.52,coffee
28,77,20,31.68,64.49,6.75,77.51,blackgram
83,12,44,24.82,89.4,6.08,34.67,watermelon
105,45,21,24.83,78.07,7.06,81.61,cotton
86,54,20,22.71,64.69,5.9,85.79,maize
36,88,19,27.19,64.33,7.16,86.73,blackgram
17,132,199,23.78,80.35,5.8,72.87,grapes
33,65,70,18.93,17.0,6.75,89.89,chickpea
19,145,190,21.72,83.43,5.77,71.53,grapes
26,10,30,24.11,94.38,5.93,158.42,coconut
103,91,45,26.17,76.38,6.09,99.62,banana
15,40,23,30.39,87.44,7.02,41.21,mungbean
31,42,18,27.87,49.98,6.91,62.84,mothbeans
123,40,20,22.75,78.62,7.31,93.63,cotton
21,82,19,18.3,20.04,5.47,98.23,kidneybeans
125,48,20,20.23,78.14,6.8,70.11,cotton
101,6,51,24.58,88.14,6.73,45.04,watermelon
19,10,35,26.77,95.03,5.82,183.61,coconut
23,136,223,21.13,84.08,5.89,81.9,grapes
15,139,206,21.86,96.8,6.47,123.99,apple
45,56,47,35.25,91.08,6.26,144.28,papaya
85,50,36,23.08,79.53,6.32,255.49,rice
112,9,55,24.54,85.81,6.56,49.55,watermelon
96,29,30,27.03,50.41,7.3,170.5,coffee
18,130,203,22.49,97.12,5.7,109.04,apple
30,149,198,21.77,84.09,5.86,58.43,grapes
17,30,33,35.89,54.78,5.78,81.64,mango
8,7,26,28.89,94.98,6.34,148.5,coconut
31,82,16,27.66,58.0,6.85,49.37,lentil
18,47,21,29.08,75.02,6.36,59.29,mungbean
109,7,50,27.83,91.59,5.93,22.94,muskmelon
23,13,28,30.98,93.82,6.07,179.91,coconut
24,7,6,21.65,96.7,7.19,120.56,orange
110,9,48,29.63,92.82,6.61,31.46,muskmelon
21,15,10,24.29,89.07,7.23,102.1,orange
13,66,18,21.64,60.26,6.44,132.47,pigeonpeas
28,116,225,21.98,92.11,5.67,98.43,apple
40,70,78,19.04,15.97,7.19,74.46,chickpea
42,66,19,31.72,67.77,6.92,80.82,blackgram
104,35,35,23.82,61.17,6.6,170.08,coffee
34,77,15,17.36,23.45,5.96,118.23,kidneybeans
20,6,23,22.57,96.64,6.25,191.87,coconut
41,65,81,17.91,17.51,7.4,64.9,chickpea
22,42,19,27.1,44.05,6.8,47.84,mothbeans
17,46,17,27.93,43.94,6.35,52.59,mothbeans
21,135,181,22.35,80.18,5.81,79.44,grapes
46,71,86,19.85,16.58,6.63,76.86,chickpea
14,8,13,20.06,92.54,7.07,129.47,orange
19,66,21,22.73,60.66,6.65,36.8,lentil
43,54,19,28.37,69.14,7.32,49.26,blackgram
106,78,45,26.04,79.78,6.4,75.99,banana
26,6,34,28.64,93.05,6.6,179.63,coconut
26,9,13,25.9,93.29,7.15,116.34,orange
69,46,40,24.53,85.56,6.16,183.98,rice
10,45,13,31.24,79.57,7.08,59.46,mungbean
11,11,31,24.9,93.16,5.99,181.99,coconut
18,125,198,24.38,76.36,5.37,63.63,grapes
12,26,21,27.81,45.43,6.9,49.4,mothbeans
22,13,30,30.36,99.8,6.16,155.15,coconut
13,66,19,24.85,23.3,5.39,101.53,kidneybeans
26,9,28,26.31,96.72,6.11,180.83,coconut
27,53,17,27.9,47.2,6.93,64.51,mothbeans
100,78,40,27.94,89.86,6.14,114.14,banana
13,10,14,23.34,94.43,7.33,128.55,orange
114,11,46,23.63,87.02,6.43,30.74,watermelon
105,32,31,24.66,56.25,6.81,164.99,coffee
46,71,21,26.84,65.25,7.14,77.29,blackgram
109,12,43,27.57,94.47,6.31,19.63,muskmelon
98,28,22,26.83,58.91,7.1,160.0,coffee
111,10,47,30.59,92.36,6.07,30.77,muskmelon
14,136,194,24.34,95.63,5.81,121.9,apple
93,69,44,28.99,81.27,5.96,97.36,banana
93,43,18,21.94,58.28,5.83,74.94,maize
101,11,50,30.88,93.04,6.28,30.21,muskmelon
40,62,25,32.08,61.3,6.6,66.14,blackgram
14,123,173,24.51,95.81,5.9,105.53,apple
44,70,18,28.97,59.01,7.54,70.13,blackgram
20,50,20,23.83,48.8,7.69,46.4,mothbeans
103,8,55,23.28,85.97,6.04,52.04,watermelon
92,103,54,29.2,82.46,5.52,110.92,banana
97,10,43,29.2,88.57,6.44,45.95,watermelon
23,66,15,30.52,53.73,6.41,60.07,mothbeans
69,33,38,23.54,90.38,6.6,223.43,rice
29,8,23,23.52,97.15,5.9,169.93,coconut
18,31,25,31.78,51.57,5.21,104.12,mango
25,130,187,28.27,79.75,5.14,74.58,grapes
24,5,41,19.87,88.9,6.65,117.82,pomegranate
14,60,21,18.1,23.39,5.39,122.72,kidneybeans
18,116,189,23.47,82.18,6.77,70.81,grapes
66,41,49,23.96,89.6,6.43,153.93,jute
88,41,40,22.54,84.39,6.6,261.13,rice
114,44,22,25.92,79.51,6.98,86.96,cotton
22,46,24,27.53,89.78,6.69,43.92,mungbean
35,58,20,27.62,69.63,6.97,68.22,blackgram
21,83,29,21.21,21.45,5.96,123.31,kidneybeans
78,45,32,22.06,79.7,6.82,240.31,rice
21,134,193,24.2,79.22,6.52,63.66,grapes
14,124,197,20.17,96.41,5.6,130.19,apple
23,14,48,21.01,83.1,6.25,103.6,pomegranate
25,69,20,28.61,45.69,6.01,96.95,pigeonpeas
68,42,23,24.68,68.05,5.76,85.25,maize
93,41,17,18.19,61.81,5.67,114.63,maize
23,122,193,19.54,85.13,5.67,86.45,apple
20,78,20,26.29,52.28,5.82,126.11,pigeonpeas
18,10,36,28.29,96.4,6.22,171.92,coconut
22,78,21,27.3,61.36,6.36,151.47,pigeonpeas
51,56,53,33.97,92.17,7.27,154.93,papaya
54,61,42,32.84,90.16,6.66,125.44,papaya
47,55,76,16.96,14.18,7.25,77.09,chickpea
27,8,10,20.24,94.53,6.84,108.54,orange
94,53,39,24.06,76.37,7.23,233.88,rice
16,11,12,22.93,96.81,7.14,123.7,orange
17,47,19,23.85,61.95,6.74,46.8,lentil
25,26,27,33.77,57.99,6.06,85.18,mango
112,79,47,27.95,74.68,6.31,89.16,banana
121,59,49,30.45,80.61,6.23,106.5,banana
71,26,38,26.8,76.94,7.44,169.87,jute
14,129,194,18.27,79.93,5.93,68.85,grapes
60,58,45,30.42,88.34,7.06,140.19,papaya
22,139,202,25.83,91.46,6.19,122.07,apple
27,125,224,26.18,81.54,5.27,69.81,grapes
95,8,41,25.54,84.84,6.7,50.69,watermelon
134,48,14,24.73,76.52,7.26,90.44,cotton
27,81,22,20.17,19.58,5.55,117.84,kidneybeans
110,15,54,29.84,82.23,6.25,38.11,watermelon
15,78,23,28.67,49.35,6.23,125.86,pigeonpeas
13,63,21,22.11,52.53,5.95,57.21,lentil
93,7,48,25.53,92.26,6.67,25.68,muskmelon
103,79,51,27.88,84.17,6.38,106.17,banana
17,54,19,24.57,60.8,7.34,47.64,lentil
17,141,202,21.44,94.41,5.75,111.43,apple
19,74,18,16.79,27.25,6.21,90.62,kidneybeans
18,25,31,30.34,52.0,5.27,91.42,mango
94,44,19,21.34,59.93,5.94,71.64,maize
25,5,7,23.19,89.83,8.01,117.74,orange
26,27,23,30.53,42.56,5.35,100.83,mango
22,7,23,26.86,93.19,6.24,191.29,coconut
88,58,42,27.25,78.13,6.13,176.64,rice
13,11,5,24.31,93.88,6.5,133.25,orange
100,21,24,25.53,55.98,6.41,126.12,coffee
128,61,23,24.88,84.52,6.73,91.64,cotton
22,69,21,27.94,56.39,5.62,126.46,pigeonpeas
39,63,18,28.3,62.29,7.23,67.78,blackgram
92,12,55,26.52,90.53,6.14,38.16,muskmelon
24,61,17,30.65,74.15,6.34,40.41,mungbean
83,30,25,23.07,53.83,6.96,185.18,coffee
101,41,35,22.3,71.38,6.34,207.23,rice
101,11,51,29.42,93.3,5.77,28.18,muskmelon
37,77,45,33.18,92.77,6.71,140.65,papaya
53,53,45,35.39,91.76,6.89,140.4,papaya
13,35,21,28.07,86.9,6.91,52.66,mungbean
22,128,203,22.81,84.0,5.38,66.37,grapes
28,29,27,28.99,51.98,5.75,118.61,mango
23,52,21,28.5,87.07,7.18,47.15,mungbean
42,74,86,18.3,16.39,6.74,67.6,chickpea
80,50,16,20.34,70.27,6.18,100.22,maize
25,37,31,31.13,55.16,6.38,87.8,mango
15,3,46,20.13,93.49,6.82,90.71,pomegranate
19,7,43,26.66,97.59,5.53,164.4,coconut
21,15,29,31.09,43.18,5.43,107.14,mango
69,65,16,23.12,68.17,6.37,87.22,maize
17,10,32,28.4,95.92,6.0,162.28,coconut
21,50,16,26.24,56.99,6.51,66.56,mothbeans
100,86,50,29.62,79.63,5.94,113.88,banana
24,12,19,29.65,95.19,6.12,157.7,coconut
70,43,40,22.49,74.25,6.52,198.13,rice
16,63,16,29.95,48.71,6.14,128.59,pigeonpeas
82,26,28,25.36,58.18,6.84,111.69,coffee
48,67,75,18.17,14.77,6.8,77.83,chickpea
21,12,29,32.36,93.79,6.52,173.77,coconut
21,58,21,27.19,40.46,5.66,131.73,pigeonpeas
45,53,53,31.36,96.0,7.03,145.31,papaya
105,9,53,29.3,90.72,6.26,24.26,muskmelon
16,39,21,26.91,80.25,6.27,45.17,mungbean
77,44,40,28.13,72.66,6.71,181.62,rice
108,29,32,28.04,57.25,6.47,186.02,coffee
30,59,22,30.04,64.31,6.87,66.95,blackgram
27,9,41,23.17,88.11,6.76,69.39,pomegranate
27,124,197,26.84,96.33,5.5,115.81,apple
96,5,48,26.75,90.42,6.14,45.73,watermelon
48,72,83,17.4,14.55,7.0,77.45,chickpea
93,3,51,25.64,86.67,6.43,45.7,watermelon
106,81,56,28.33,75.89,5.69,117.27,banana
97,26,33,24.84,67.09,6.86,153.6,coffee
95,27,29,28.41,52.38,6.61,121.68,coffee
25,60,18,20.92,24.35,5.72,101.04,kidneybeans
29,49,18,24.78,46.69,6.67,59.6,mothbeans
81,11,51,23.48,80.41,6.96,64.14,watermelon
36,59,16,29.25,68.22,7.28,65.03,blackgram
90,74,53,26.11,75.73,5.81,115.48,banana
114,40,21,25.82,84.69,7.23,78.0,cotton
15,75,23,16.31,19.21,5.35,100.25,kidneybeans
67,45,14,23.3,68.24,6.01,113.61,maize
94,6,47,28.02,92.81,6.38,20.86,muskmelon
24,10,13,23.17,87.55,7.44,95.79,orange
21,15,29,22.33,96.41,6.58,134.76,pomegranate
82,56,20,21.98,64.02,6.17,89.44,maize
116,12,54,29.24,88.65,6.29,29.85,muskmelon
24,131,194,29.94,81.72,6.47,65.99,grapes
49,67,53,33.75,88.73,6.37,146.6,papaya
100,6,48,31.28,92.96,6.29,34.48,muskmelon
15,8,10,21.45,94.71,7.07,123.62,orange
109,8,48,28.23,89.67,6.17,23.65,muskmelon
84,47,36,26.3,84.2,6.14,161.95,jute
17,136,228,21.24,77.0,5.2,68.5,grapes
85,56,46,24.17,75.28,6.78,157.54,jute
46,49,38,23.03,81.58,7.15,165.48,jute
96,32,30,25.29,55.62,6.85,179.93,coffee
117,42,20,24.13,79.88,7.12,73.55,cotton
27,9,41,24.08,89.6,6.1,142.15,pomegranate
114,57,16,22.04,79.74,6.77,66.72,cotton
18,67,15,21.03,23.72,5.78,126.87,kidneybeans
26,9,8,20.51,91.28,6.87,118.3,orange
103,21,29,24.05,59.79,6.9,169.62,coffee
27,76,16,21.24,25.99,5.92,126.36,kidneybeans
11,124,188,23.26,80.09,6.3,67.12,grapes
19,139,235,19.3,81.69,5.53,85.92,grapes
43,73,85,19.32,16.28,7.2,108.5,chickpea
18,24,38,29.94,53.68,5.58,88.1,mango
